ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
1,White,2017,2017,TRUE,TRUE,252020,Elementary & middle school teachers,59092.35769,2113.305867,103445,7801.728443,1185,New Jersey,04000US34,new-jersey
9,Two or More Races,2017,2017,TRUE,TRUE,291141,Registered nurses,63778.69793,10326.60717,1887,1066.26774,12,New Jersey,04000US34,new-jersey
9,Two or More Races,2017,2017,TRUE,TRUE,533030,Driver/sales workers & truck drivers,33520.85564,9434.141417,2563,1242.569763,20,New Jersey,04000US34,new-jersey
2,Black,2017,2017,TRUE,TRUE,291141,Registered nurses,61919.1721,6367.283977,12353,2724.846242,90,New Jersey,04000US34,new-jersey
2,Black,2016,2016,TRUE,TRUE,533030,Driver/sales workers & truck drivers,45739.38402,7454.833665,14369,2937.997611,116,New Jersey,04000US34,new-jersey
1,White,2016,2016,TRUE,TRUE,291141,Registered nurses,70382.08791,3242.255047,59718,5957.301231,645,New Jersey,04000US34,new-jersey
1,White,2016,2016,TRUE,TRUE,533030,Driver/sales workers & truck drivers,43759.71207,2749.159077,62551,6094.905294,542,New Jersey,04000US34,new-jersey
6,Asian,2016,2016,TRUE,TRUE,291141,Registered nurses,81584.15249,8241.466099,17195,3212.876954,164,New Jersey,04000US34,new-jersey
8,Other,2016,2016,TRUE,TRUE,533030,Driver/sales workers & truck drivers,42797.11264,12963.89653,12828,2776.494113,89,New Jersey,04000US34,new-jersey
6,Asian,2016,2016,TRUE,TRUE,252020,Elementary & middle school teachers,40555.7721,10731.31841,4581,1660.811493,49,New Jersey,04000US34,new-jersey
6,Asian,2016,2016,TRUE,TRUE,412031,Retail salespersons,28800.39665,9419.069348,7344,2102.155954,67,New Jersey,04000US34,new-jersey
8,Other,2016,2016,TRUE,TRUE,291141,Registered nurses,52572.40328,13458.05678,2135,1134.134105,18,New Jersey,04000US34,new-jersey
6,Asian,2016,2016,TRUE,TRUE,533030,Driver/sales workers & truck drivers,46230.06313,29180.62115,3057,1356.956661,24,New Jersey,04000US34,new-jersey
9,Two or More Races,2016,2016,TRUE,TRUE,533030,Driver/sales workers & truck drivers,38438.98084,15418.4653,2349,1189.586486,23,New Jersey,04000US34,new-jersey
9,Two or More Races,2016,2016,TRUE,TRUE,291141,Registered nurses,67457.27877,14022.43536,1912,1073.299266,12,New Jersey,04000US34,new-jersey
9,Two or More Races,2016,2016,TRUE,TRUE,412031,Retail salespersons,15291.52738,6664.409452,1388,914.5310351,13,New Jersey,04000US34,new-jersey
9,Two or More Races,2016,2016,TRUE,TRUE,252020,Elementary & middle school teachers,58485.07882,13071.01623,1053,796.5903655,14,New Jersey,04000US34,new-jersey
1,White,2016,2016,TRUE,TRUE,252020,Elementary & middle school teachers,56651.20198,1995.941177,106409,7907.677169,1182,New Jersey,04000US34,new-jersey
1,White,2016,2016,TRUE,TRUE,412031,Retail salespersons,34185.88348,4669.416207,68463,6371.922729,668,New Jersey,04000US34,new-jersey
2,Black,2016,2016,TRUE,TRUE,252020,Elementary & middle school teachers,53299.07828,7519.607093,11471,2625.956734,96,New Jersey,04000US34,new-jersey
2,Black,2016,2016,TRUE,TRUE,412031,Retail salespersons,21495.81909,7908.796003,14692,2970.722183,106,New Jersey,04000US34,new-jersey
2,Black,2016,2016,TRUE,TRUE,291141,Registered nurses,82979.76892,10290.60959,11524,2631.999676,92,New Jersey,04000US34,new-jersey
