ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
2,$10-20k,2017,2017,TRUE,TRUE,19419097,100828.6429,174077,United States,01000US,united-states,0.131461058
9,$80-90k,2017,2017,TRUE,TRUE,207972,10924.79911,2120,New Jersey,04000US34,new-jersey,0.047921991
13,$120-130k,2017,2017,TRUE,TRUE,2195301,36105.25743,22483,United States,01000US,united-states,0.014861484
15,$140-150k,2017,2017,TRUE,TRUE,47610,5327.561386,486,New Jersey,04000US34,new-jersey,0.010970544
7,$60-70k,2017,2017,TRUE,TRUE,9664187,73784.45297,94850,United States,01000US,united-states,0.065423446
8,$70-80k,2017,2017,TRUE,TRUE,242299,11742.89709,2478,New Jersey,04000US34,new-jersey,0.055831797
14,$130-140k,2017,2017,TRUE,TRUE,1219921,27004.73137,12557,United States,01000US,united-states,0.008258474
18,$170-180k,2017,2017,TRUE,TRUE,26971,4019.476981,281,New Jersey,04000US34,new-jersey,0.006214798
4,$30-40k,2017,2017,TRUE,TRUE,19361189,100700.9127,177684,United States,01000US,united-states,0.131069039
7,$60-70k,2017,2017,TRUE,TRUE,309247,13157.54846,3079,New Jersey,04000US34,new-jersey,0.071258304
15,$140-150k,2017,2017,TRUE,TRUE,904007,23271.67625,9403,United States,01000US,united-states,0.006119837
14,$130-140k,2017,2017,TRUE,TRUE,55705,5757.269223,606,New Jersey,04000US34,new-jersey,0.012835836
8,$70-80k,2017,2017,TRUE,TRUE,6984904,63333.9177,69155,United States,01000US,united-states,0.04728556
6,$50-60k,2017,2017,TRUE,TRUE,372610,14328.76198,3565,New Jersey,04000US34,new-jersey,0.085858736
16,$150-160k,2017,2017,TRUE,TRUE,1245986,27289.27203,12803,United States,01000US,united-states,0.008434926
21,$200k+,2017,2017,TRUE,TRUE,186889,10382.64703,2113,New Jersey,04000US34,new-jersey,0.043063936
1,< $10K,2017,2017,TRUE,TRUE,17420601,96240.3931,169617,United States,01000US,united-states,0.117931881
5,$40-50k,2017,2017,TRUE,TRUE,376934,14403.80607,3438,New Jersey,04000US34,new-jersey,0.086855095
17,$160-170k,2017,2017,TRUE,TRUE,627113,19400.98729,6576,United States,01000US,united-states,0.004245354
13,$120-130k,2017,2017,TRUE,TRUE,102003,7748.478844,1056,New Jersey,04000US34,new-jersey,0.023504062
9,$80-90k,2017,2017,TRUE,TRUE,5296939,55482.70357,53128,United States,01000US,united-states,0.035858578
4,$30-40k,2017,2017,TRUE,TRUE,453206,15641.28148,3925,New Jersey,04000US34,new-jersey,0.104430086
18,$170-180k,2017,2017,TRUE,TRUE,492628,17203.18751,5160,United States,01000US,united-states,0.003334934
17,$160-170k,2017,2017,TRUE,TRUE,27984,4093.783845,325,New Jersey,04000US34,new-jersey,0.006448219
5,$40-50k,2017,2017,TRUE,TRUE,15445707,91305.36526,147128,United States,01000US,united-states,0.104562482
3,$20-30k,2017,2017,TRUE,TRUE,506176,16417.06256,4316,New Jersey,04000US34,new-jersey,0.116635709
19,$180-190k,2017,2017,TRUE,TRUE,457330,16577.39472,4758,United States,01000US,united-states,0.003095977
12,$110-120k,2017,2017,TRUE,TRUE,80739,6910.96219,855,New Jersey,04000US34,new-jersey,0.018604301
10,$90-100k,2017,2017,TRUE,TRUE,3572079,45837.3748,36121,United States,01000US,united-states,0.024181829
2,$10-20k,2017,2017,TRUE,TRUE,498393,16306.88652,4417,New Jersey,04000US34,new-jersey,0.11484231
20,$190-200k,2017,2017,TRUE,TRUE,234915,11890.07322,2515,United States,01000US,united-states,0.001590299
19,$180-190k,2017,2017,TRUE,TRUE,24197,3808.389921,278,New Jersey,04000US34,new-jersey,0.005575599
3,$20-30k,2017,2017,TRUE,TRUE,21457270,105142.7427,190148,United States,01000US,united-states,0.145258836
1,< $10K,2017,2017,TRUE,TRUE,453875,15651.47445,4396,New Jersey,04000US34,new-jersey,0.10458424
21,$200k+,2017,2017,TRUE,TRUE,3549995,45698.96304,38084,United States,01000US,united-states,0.024032327
11,$100-110k,2017,2017,TRUE,TRUE,155249,9499.018748,1673,New Jersey,04000US34,new-jersey,0.035773283
11,$100-110k,2016,2016,TRUE,TRUE,173187,10006.52931,1727,New Jersey,04000US34,new-jersey,0.040815533
1,< $10K,2016,2016,TRUE,TRUE,18071160,97666.88817,174284,United States,01000US,united-states,0.124292331
1,< $10K,2016,2016,TRUE,TRUE,451901,15600.67743,4370,New Jersey,04000US34,new-jersey,0.106500951
21,$200k+,2016,2016,TRUE,TRUE,3246899,43742.62633,35081,United States,01000US,united-states,0.022331972
21,$200k+,2016,2016,TRUE,TRUE,171326,9954.896131,1923,New Jersey,04000US34,new-jersey,0.040376945
2,$10-20k,2016,2016,TRUE,TRUE,20389119,102793.0711,179785,United States,01000US,united-states,0.140235111
2,$10-20k,2016,2016,TRUE,TRUE,498901,16289.96721,4366,New Jersey,04000US34,new-jersey,0.117577591
20,$190-200k,2016,2016,TRUE,TRUE,215272,11382.73903,2232,United States,01000US,united-states,0.001480628
20,$190-200k,2016,2016,TRUE,TRUE,9513,2391.917109,102,New Jersey,04000US34,new-jersey,0.002241959
3,$20-30k,2016,2016,TRUE,TRUE,21371186,104825.3223,188687,United States,01000US,united-states,0.146989708
3,$20-30k,2016,2016,TRUE,TRUE,514000,16501.26165,4392,New Jersey,04000US34,new-jersey,0.12113602
19,$180-190k,2016,2016,TRUE,TRUE,415815,15808.94595,4371,United States,01000US,united-states,0.00285995
19,$180-190k,2016,2016,TRUE,TRUE,23068,3718.741466,236,New Jersey,04000US34,new-jersey,0.005436509
4,$30-40k,2016,2016,TRUE,TRUE,19001439,99782.67882,174794,United States,01000US,united-states,0.130690733
4,$30-40k,2016,2016,TRUE,TRUE,437059,15372.35008,3927,New Jersey,04000US34,new-jersey,0.103003089
18,$170-180k,2016,2016,TRUE,TRUE,455511,16544.0871,4674,United States,01000US,united-states,0.003132977
18,$170-180k,2016,2016,TRUE,TRUE,24604,3839.854993,261,New Jersey,04000US34,new-jersey,0.005798503
5,$40-50k,2016,2016,TRUE,TRUE,15123581,90375.65579,144076,United States,01000US,united-states,0.104019064
5,$40-50k,2016,2016,TRUE,TRUE,373308,14325.53667,3532,New Jersey,04000US34,new-jersey,0.087978688
17,$160-170k,2016,2016,TRUE,TRUE,552650,18216.83297,5816,United States,01000US,united-states,0.003801093
17,$160-170k,2016,2016,TRUE,TRUE,26180,3960.186578,282,New Jersey,04000US34,new-jersey,0.006169924
6,$50-60k,2016,2016,TRUE,TRUE,11847222,80989.04435,116099,United States,01000US,united-states,0.081484467
6,$50-60k,2016,2016,TRUE,TRUE,356856,14036.05171,3496,New Jersey,04000US34,new-jersey,0.084101392
16,$150-160k,2016,2016,TRUE,TRUE,1162540,26365.46585,12020,United States,01000US,united-states,0.007995879
16,$150-160k,2016,2016,TRUE,TRUE,57307,5837.486383,608,New Jersey,04000US34,new-jersey,0.013505724
7,$60-70k,2016,2016,TRUE,TRUE,9088557,71664.7225,89509,United States,01000US,united-states,0.062510538
7,$60-70k,2016,2016,TRUE,TRUE,292825,12818.91031,2910,New Jersey,04000US34,new-jersey,0.069011002
15,$140-150k,2016,2016,TRUE,TRUE,852847,22606.47364,8803,United States,01000US,united-states,0.005865829
15,$140-150k,2016,2016,TRUE,TRUE,41859,4998.231644,439,New Jersey,04000US34,new-jersey,0.009865044
8,$70-80k,2016,2016,TRUE,TRUE,6593885,61598.05508,65409,United States,01000US,united-states,0.045352337
8,$70-80k,2016,2016,TRUE,TRUE,228039,11404.70219,2343,New Jersey,04000US34,new-jersey,0.053742679
14,$130-140k,2016,2016,TRUE,TRUE,1073008,25337.73158,11149,United States,01000US,united-states,0.007380083
14,$130-140k,2016,2016,TRUE,TRUE,51283,5526.129194,554,New Jersey,04000US34,new-jersey,0.012086028
9,$80-90k,2016,2016,TRUE,TRUE,5084130,54381.83577,50617,United States,01000US,united-states,0.034968335
9,$80-90k,2016,2016,TRUE,TRUE,186978,10379.6817,1937,New Jersey,04000US34,new-jersey,0.044065702
13,$120-130k,2016,2016,TRUE,TRUE,2049018,34895.19391,20853,United States,01000US,united-states,0.01409302
13,$120-130k,2016,2016,TRUE,TRUE,96454,7537.751281,987,New Jersey,04000US34,new-jersey,0.022731622
10,$90-100k,2016,2016,TRUE,TRUE,3440709,44998.51302,34935,United States,01000US,united-states,0.023664986
10,$90-100k,2016,2016,TRUE,TRUE,151120,9372.61914,1587,New Jersey,04000US34,new-jersey,0.035614933
12,$110-120k,2016,2016,TRUE,TRUE,1753923,32318.00645,17684,United States,01000US,united-states,0.012063375
12,$110-120k,2016,2016,TRUE,TRUE,77396,6767.630633,851,New Jersey,04000US34,new-jersey,0.018240162
11,$100-110k,2016,2016,TRUE,TRUE,3603926,46026.96117,36228,United States,01000US,united-states,0.024787582
6,$50-60k,2015,2015,TRUE,TRUE,347004,13851.47225,3385,New Jersey,04000US34,new-jersey,0.082707434
1,< $10K,2015,2015,TRUE,TRUE,458712,15692.87653,4422,New Jersey,04000US34,new-jersey,0.109332723
11,$100-110k,2015,2015,TRUE,TRUE,3368094,44525.21333,33842,United States,01000US,united-states,0.023486398
12,$110-120k,2015,2015,TRUE,TRUE,73345,6590.682139,779,New Jersey,04000US34,new-jersey,0.017481576
12,$110-120k,2015,2015,TRUE,TRUE,1626297,31131.35771,16648,United States,01000US,united-states,0.011340497
10,$90-100k,2015,2015,TRUE,TRUE,141749,9085.975068,1485,New Jersey,04000US34,new-jersey,0.033785478
